well position(Plate/Well),Bacteria code,Sample number ,Culture condition ,Sequence ID,Best hit name,Source,Taxonomy
P1A1,408MIMS1,408,MI,89CF09 / 91AE22,Micrococcus luteus strain ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Actinobacteria; Micrococcales; Micrococcaceae;Micrococcus 
P1A10,393MITS29,393,MI,91AE29,Staphylococcus aureus ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1A11,393MITS28,393,MI,91AE30,Staphylococcus aureus ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1A12,393MICB33,393,MI,89CE16,Streptococcus mitis/australis/oral taxon 431/oralis,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae;Streptococcus.
P1A2,393MICB41,393,MI,91AE23,Staphylococcus aureus ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1A3,393MICB35,393,MI,91AE24,Pseudomonas aeruginosa ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1A4,393MICB36,393,MI,91AE31/91AE32/91AE33,Staphylococcus aureus ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1A5,393MICB38,393,MI,,NA,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1A6,393MICB39,393,MI,89CE04,Staphylococcus aureus strain SABRC30,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1A7,393MIMS31,393,MI,91AE26,Staphylococcus aureus ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1A8,393MIMS30,393,MI,91AE27,Staphylococcus aureus ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1A9,393MIMS32,393,MI,91AE28,Staphylococcus aureus ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1B1,393MICM23,393,MI,89CE08,Staphylococcus warneri strain CH3,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1B10,393AECM11,393,AE,89CE31,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1B11,393AEMS14,393,AE,89CE24,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1B12,393AETS5,393,AE,89CE27,Staphylococcus aureus strain SABRC56,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1B2,393MICM21,393,MI,89CE18,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1B3,393MICM25,393,MI,89CE20,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1B4,370AECB1,370,AE,85GH42,Micrococcus sp. Oral Taxon B64 (eHOMD 99.4%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1B5,393AECB17,393,AE,89CE21,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1B6,393MITS20,393,MI,89CE19,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1B7,393MITS26,393,MI,89CE10,Pseudomonas aeruginosa strain BGM-13 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1B8,393AECB15,393,AE,89CE22 (FAILED)/85GH43,Pseudomonas aeruginosa (SILVA 100%),Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),
P1B9,393AECB16,393,AE,89CE23,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1C1,393AETS6,393,AE,89CE30,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1C10,393MIMR1,393,MI,89CE38,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1C11,407MICB1,407,MI,89CE52,Enterobacter sp. strain N17 ,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales;Enterobacteriaceae; Enterobacter
P1C12,403AETS1,403,AE,89CE53,Bacillus clausii strain HTBS-SI7,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.
P1C2,393AECM10,393,AE,89CE29,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1C3,393AETS1,393,AE,89CE25,Staphylococcus sp. strain CAU2624,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1C4,393AETS3,393,AE,89CE12,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1C5,393AECM9,393,AE,89CE28,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1C6,419MIMR1,419,MI,89CE37,Staphylococcus sp. strain PGT-LC,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1C7,393MITS42,393,MI,89CE51,Pseudomonas aeruginosa strain BR1-B,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales;Pseudomonadaceae; Pseudomonas
P1C8,393MIMR2,393,MI,89CE36,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
P1C9,393MITS27,393,MI,89CE49,Staphylococcus sp. strain CAU7332,Post transplanted human lung Bronchoalveolar Lavage Fluid (BALF),Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus.
